Ano;Tema
2002;Macro-regiões, reestruturação produtiva, eixos de desenvolvimento
2002;expansão da sojacultura pelo Centro–Oeste brasileiro -fatores de natureza tecnológica e geopolítica
2002;expectativa em relação à formação da primeira “megalópolis” brasileira – motivos da frustração do projeto
2002;China, Índia e Europa – questão agrícola – fatores ambientais e históricos
2002;MERCOSUL – ALCA (antagonismo ou complementariedade? Comentários a partir do realismo e idealismo)
2003;Caatinga, biodiversidade, vetores antrópicos
2003;integração sul-americana sob o ponto de vista das fontes e sistemas de geração de energia
2003;relações cidade/campo no Brasil contemporâneo / economia primária – país urbano
2003;relações cidade/campo no Brasil contemporâneo
2003;“Tropicalidade” brasileira, divisão em Macro-regiões e alterações regionais – geografia física
2004;Região Amazônica - principais patamares orográficos presentes e os sistemas de exploração econômica a eles associados.
2004;Política exterior dos países Ibéricos - 
"atlantismo" e o "europeísmo"
2004;cronologia, concepções, instituições - implantação da política ambiental brasileira
2004;elementos para a ascensão da América Latina
2004;agronegócio brasileiro, vantagens comparativas e competitivas
2005;potencialidades da hidroeletricidade e da termoeletricidade no Brasil
2005;urbanização na Amazônia brasileira
2005;responsabilidades na emissão de gases poluentes e Rio-92
2005;Ratzel – território / Espaço vital
2005;divisão climática do Brasil e as formações vegetais
2006;crescimento econômico na Região Nordeste
2006;tendências atuais do transporte transoceânico
2006;ingresso da Turquia na UE – posições ING, FRA e ALE
2006;desenvolvimento sustentável
2006;Mar territorial, Amazônia Azul e implicações na geopolítica brasileira no Atlântico Sul
2007;Zona costeira brasileira, 
conjuntos paisagísticos
2007;lógica espacial da distribuição da riqueza brasileira por setores de atividades
2007;gestão dos recursos hídricos
2007;novos indicadores demográficos no Brasil
2007;“Grande Oriente Médio”
2008;processo e implicações da expansão da
lavoura cafeeira
2008;Índia e a China – modelos de desenvolvimento, vantagens comparativas e competitivas
2008;sistema de transportes
2008;redistribuição industrial, novo papel das cidades
2008;xxxxxx
2009;produção agrícola no Brasil
2009;África, exploração de jazidas e atores envolvidos
2009;rede urbana brasileira
2009;Questão palestina, demografia, refugiados
2009;xxxxxx
2010;migrações internacionais
2010;energias renováveis e não renováveis do Brasil - matriz energética
2010;livro Brasil: território e sociedade no limiar do século XXI / nova proposta de regionalização do Brasil
2010;culturas agrícolas no Brasil e formação econômica
2010;xxxxxx
2011;frente pioneira
2011;DF
2011;transição demográfica no Brasil
2011;navegação de cabotagem no Brasil
2011;xxxxxx
2012;principais matrizes energéticas atuais
2012;“questão da água” como problema geopolítico
2012;Acordo de Schengen e imigração
2012;Sahel, secessão do
2012;xxxxxx
2013;Sykes-Picot
2013;EUA, China e Rússia ->questão energética e ajuste ao paradigma do "desenvolvimento sustentável".
2013;avanço da cafeicultura e modelos de organização territorial
2013;população rural – estabilização
2013;xxxxxx
2014;Meio ambiente, desenvolvimento dos setores industrial, agrícola e energético
2014;Crimeia – Mackinder
2014;Geografia Economica / rural - café
2014;Geografia da População - demografia
2015;Discorra sobre o papel das aglomerações transfronteiriças nas dinâmicas de desenvolvimento regional
2015;Explique a relação contraditória entre, por um lado, a consagração do patrimônio da humanidade no Brasil e a gestão ambiental e cultural brasileiras, e, por outro lado, as especificidades do desenvolvimento territorial histórico do país.
2015;X
2015;X
2016;Urbanização
2016;Discorra sobre o valor estratégico dos recursos ambientais e as inter-relações entre a geodiversidade do Brasil e os desafios e novos imperativos ao desenvolvimento tecnológico, econômico e social do país.
2017;Política de filho único na China.
2017;Ecossistemas brasileiros e gerenciamento ambiental necessários.
2017;Dinâmicas Latino Americanas.
2017;Mudança da Capital para Brasília.
2018;Impacto, na perspectiva social, da produção dos riscos e da vulnerabilidade.
2018;Amazônia.
2018;Abordagens espaciais ou territoriais durante o determinismo, geografia crítica e geografia humanista.
2018;Imigração para Portugal.
2019;Conceito de desterritorialização. a) as transformações pós-fordistas nos sistemas produtivos e gerenciais,
b) espaços-de-lugares e espaços-de-fluxos,
c) o poder do Estado Nacional, e
d) as fronteiras nacionais no mundo contemporâneo.
2019;Economia Global e conceitos.
2019;Caatinga e Cerrado.
2019;População Mundial.
2020;Fronteiras do Brasil (terrestre e litorânea
2020;Agronegócio e refuncionalização dos espaços produtivos
2020;Transporte marítimo global de cargas
2020;Urbanização brasileira
2022;migrações internacionais
2022;urbanização na Amazônia brasileira: cidades médias
2022;História da Geografia
2022;globalização e a divisão internacional 
do trabalho e os impactos da 
pandemia da Covid-19 na economia 
mundial
2023;rede urbana: conceito
2023;ambiente e recurso da água
2023;população brasileira - censo 2022
2023;Domínio Morfoclimáticos e Impactos ambientais
