abhorrent;abominável, repugnante
accredited;credenciado, autorizado
administered;administrado, gerido
affiliate (as a verb);afiliar, associar
apogee;ápice, ponto culminante
auspicious;auspicioso, promissor
autonomy;autonomia
canonical;canônico, consagrado
complacency;complacência, autossatisfação
constrained;constrangido, limitado
constricted;estreitado, limitado
cupidity;cupidez, avidez (por riqueza)
defer (to);deferir, acatar
depraved;depravado, corrupto
dialectic;dialética
didactically;didaticamente
disquisition;dissertação, tratado
disseminate;disseminar, difundir
eminent;eminente, notável
emulate;emular, imitar
euphemistically;eufemisticamente
exogenous;exógeno, de origem externa
gullible;crédulo, ingênuo
hegemonic;hegemônico
incontinent (fig.);incontinente, descontrolado
ineradicable;inerradicável
inveterate;inveterado, arraigado
lucidity;lucidez
magisterial;magistral, autoritário
moralistically;moralisticamente
paramount;primordial, supremo
pedigreed (fig.);consagrado, de linhagem
polarize;polarizar
positivism;positivismo
pre-Newtonian;pré-newtoniano
purported;suposto, alegado
rehabilitated;reabilitado
rudimentary;rudimentar
slipshod;descuidado, desleixado
streamlining;racionalização, simplificação
subterfuge;subterfúgio
tautology;tautologia
temperate;moderado, controlado
tutelage;tutela
ultrascientific;ultracientífico
unprecedented;sem precedentes
utopianism;utopismo
vindication;reivindicação, comprovação
